event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,duration(min),energy(W)
Washing_Machine_2013-11-30_01,Washing Machine,2013-11-30 11:23:00,2013-11-30 13:36:00,2013-12-01 06:00:00,2013-12-01 08:13:00,SUCCESS,133.0,51820.43
Washing_Machine_2013-11-30_02,Washing Machine,2013-11-30 16:05:00,2013-11-30 16:24:00,2013-11-30 16:10:00,2013-11-30 16:29:00,SUCCESS,19.0,1851.02
Washing_Machine_2013-12-06_01,Washing Machine,2013-12-06 11:21:00,2013-12-06 13:38:00,2013-12-07 06:00:00,2013-12-07 08:17:00,SUCCESS,137.0,63139.77
Washing_Machine_2013-12-10_01,Washing Machine,2013-12-10 11:06:00,2013-12-10 13:20:00,2013-12-11 06:00:00,2013-12-11 08:14:00,SUCCESS,134.0,41394.78
Washing_Machine_2013-12-17_01,Washing Machine,2013-12-17 10:19:00,2013-12-17 12:31:00,2013-12-18 06:00:00,2013-12-18 08:12:00,SUCCESS,132.0,39504.47
Washing_Machine_2013-12-18_01,Washing Machine,2013-12-18 10:50:00,2013-12-18 13:20:00,2013-12-19 06:00:00,2013-12-19 08:30:00,SUCCESS,150.0,65069.6
Washing_Machine_2013-12-28_01,Washing Machine,2013-12-28 10:21:00,2013-12-28 12:37:00,2013-12-29 06:00:00,2013-12-29 08:16:00,SUCCESS,136.0,40923.0
Washing_Machine_2013-12-28_02,Washing Machine,2013-12-28 12:55:00,2013-12-28 15:07:00,2013-12-28 13:00:00,2013-12-28 15:12:00,SUCCESS,132.0,45187.58
Washing_Machine_2013-12-28_03,Washing Machine,2013-12-28 15:10:00,2013-12-28 17:21:00,2013-12-28 15:15:00,2013-12-28 17:26:00,SUCCESS,131.0,47925.25
Washing_Machine_2013-12-28_05,Washing Machine,2013-12-28 19:23:00,2013-12-28 19:54:00,2013-12-28 19:28:00,2013-12-28 19:59:00,SUCCESS,31.0,3248.65
Washing_Machine_2013-12-30_02,Washing Machine,2013-12-30 22:52:00,2013-12-30 22:59:00,2013-12-31 06:00:00,2013-12-31 06:07:00,SUCCESS,7.0,804.23
Washing_Machine_2014-01-11_01,Washing Machine,2014-01-11 10:51:00,2014-01-11 12:08:00,2014-01-12 06:00:00,2014-01-12 07:17:00,SUCCESS,77.0,41270.01
Washing_Machine_2014-01-12_01,Washing Machine,2014-01-12 12:40:00,2014-01-12 14:08:00,2014-01-13 06:00:00,2014-01-13 07:28:00,SUCCESS,88.0,45168.16
Washing_Machine_2014-01-16_01,Washing Machine,2014-01-16 11:29:00,2014-01-16 13:43:00,2014-01-17 06:00:00,2014-01-17 08:14:00,SUCCESS,134.0,62537.58
Washing_Machine_2014-01-17_01,Washing Machine,2014-01-17 10:14:00,2014-01-17 12:29:00,2014-01-18 06:00:00,2014-01-18 08:15:00,SUCCESS,135.0,63377.43
Washing_Machine_2014-01-19_01,Washing Machine,2014-01-19 11:21:00,2014-01-19 12:38:00,2014-01-20 06:00:00,2014-01-20 07:17:00,SUCCESS,77.0,43711.8
Washing_Machine_2014-01-19_02,Washing Machine,2014-01-19 13:09:00,2014-01-19 14:25:00,2014-01-19 13:14:00,2014-01-19 14:30:00,SUCCESS,76.0,29280.59
Washing_Machine_2014-01-19_03,Washing Machine,2014-01-19 14:50:00,2014-01-19 15:09:00,2014-01-19 14:55:00,2014-01-19 15:14:00,SUCCESS,19.0,1921.9
Washing_Machine_2014-01-20_01,Washing Machine,2014-01-20 14:38:00,2014-01-20 15:38:00,2014-01-21 06:00:00,2014-01-21 07:00:00,SUCCESS,60.0,27880.01
Washing_Machine_2014-01-21_01,Washing Machine,2014-01-21 09:31:00,2014-01-21 11:45:00,2014-01-22 06:00:00,2014-01-22 08:14:00,SUCCESS,134.0,62797.11
Washing_Machine_2014-01-21_02,Washing Machine,2014-01-21 14:32:00,2014-01-21 15:20:00,2014-01-21 14:37:00,2014-01-21 15:25:00,SUCCESS,48.0,21294.65
Washing_Machine_2014-03-08_01,Washing Machine,2014-03-08 12:32:00,2014-03-08 14:44:00,2014-03-09 06:00:00,2014-03-09 08:12:00,SUCCESS,132.0,34424.91
Washing_Machine_2014-03-09_01,Washing Machine,2014-03-09 14:23:00,2014-03-09 16:38:00,2014-03-10 06:00:00,2014-03-10 08:15:00,SUCCESS,135.0,66140.2
Washing_Machine_2014-03-15_01,Washing Machine,2014-03-15 11:31:00,2014-03-15 13:41:00,2014-03-16 06:00:00,2014-03-16 08:10:00,SUCCESS,130.0,38326.3
Washing_Machine_2014-03-16_01,Washing Machine,2014-03-16 10:19:00,2014-03-16 12:32:00,2014-03-17 06:00:00,2014-03-17 08:13:00,SUCCESS,133.0,46162.99
Washing_Machine_2014-03-27_01,Washing Machine,2014-03-27 10:21:00,2014-03-27 12:34:00,2014-03-28 06:00:00,2014-03-28 08:13:00,SUCCESS,133.0,46429.95
Washing_Machine_2014-03-29_01,Washing Machine,2014-03-29 10:04:00,2014-03-29 12:18:00,2014-03-30 06:00:00,2014-03-30 08:14:00,SUCCESS,134.0,48821.64
Washing_Machine_2014-04-01_01,Washing Machine,2014-04-01 10:45:00,2014-04-01 12:03:00,2014-04-02 06:00:00,2014-04-02 07:18:00,SUCCESS,78.0,43069.27
Washing_Machine_2014-04-06_01,Washing Machine,2014-04-06 09:57:00,2014-04-06 12:11:00,2014-04-07 06:00:00,2014-04-07 08:14:00,SUCCESS,134.0,59747.49
Washing_Machine_2014-04-08_01,Washing Machine,2014-04-08 11:54:00,2014-04-08 14:05:00,2014-04-09 06:00:00,2014-04-09 08:11:00,SUCCESS,131.0,40015.77
Washing_Machine_2014-04-13_01,Washing Machine,2014-04-13 13:52:00,2014-04-13 16:03:00,2014-04-14 06:00:00,2014-04-14 08:11:00,SUCCESS,131.0,40155.15
Washing_Machine_2014-04-14_01,Washing Machine,2014-04-14 14:09:00,2014-04-14 15:04:00,2014-04-15 06:00:00,2014-04-15 06:55:00,SUCCESS,55.0,11333.76
Washing_Machine_2014-04-15_01,Washing Machine,2014-04-15 10:33:00,2014-04-15 12:42:00,2014-04-16 06:00:00,2014-04-16 08:09:00,SUCCESS,129.0,46586.5
Washing_Machine_2014-04-15_02,Washing Machine,2014-04-15 12:49:00,2014-04-15 12:58:00,2014-04-15 12:54:00,2014-04-15 13:03:00,SUCCESS,9.0,958.24
Washing_Machine_2014-04-18_01,Washing Machine,2014-04-18 09:55:00,2014-04-18 12:04:00,2014-04-19 06:00:00,2014-04-19 08:09:00,SUCCESS,129.0,29760.94
