event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,orig_level_2_minutes,orig_level_2_W,orig_level_2_rate,orig_level_2_cost,orig_level_3_minutes,orig_level_3_W,orig_level_3_rate,orig_level_3_cost,orig_level_4_minutes,orig_level_4_W,orig_level_4_rate,orig_level_4_cost,orig_level_5_minutes,orig_level_5_W,orig_level_5_rate,orig_level_5_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost,sched_level_2_minutes,sched_level_2_W,sched_level_2_rate,sched_level_2_cost,sched_level_3_minutes,sched_level_3_W,sched_level_3_rate,sched_level_3_cost,sched_level_4_minutes,sched_level_4_W,sched_level_4_rate,sched_level_4_cost,sched_level_5_minutes,sched_level_5_W,sched_level_5_rate,sched_level_5_cost
Tumble_Dryer_2013-10-24_01,Tumble Dryer,original,,2013-10-24 10:56:00,2013-10-24 11:07:00,11,1487.94,0.007439699999999999,0,0.0,0.22,0.0,0,0.0,0.26,0.0,11,1487.94,0.3,0.007439699999999999,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-10-25 06:00:00,2013-10-25 06:11:00,11,1487.94,0.0064477399999999995,0,0.0,0.22,0.0,11,1487.94,0.26,0.0064477399999999995,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-10-24_02,Tumble Dryer,original,,2013-10-24 12:36:00,2013-10-24 12:47:00,11,1037.54,0.005879393333333332,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,11,1037.5399999999997,0.34,0.005879393333333332,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-10-25 06:11:00,2013-10-25 06:22:00,11,1037.54,0.004496006666666666,0,0.0,0.22,0.0,11,1037.5399999999997,0.26,0.004496006666666666,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-10-27_01,Tumble Dryer,original,,2013-10-27 14:27:00,2013-10-27 14:48:00,21,3305.42,0.018730713333333326,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,21,3305.4199999999987,0.34,0.018730713333333326,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-10-28 06:00:00,2013-10-28 06:21:00,21,3305.42,0.014323486666666661,0,0.0,0.22,0.0,21,3305.4199999999987,0.26,0.014323486666666661,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-10-28_01,Tumble Dryer,original,,2013-10-28 08:12:00,2013-10-28 08:19:00,7,8761.62,0.0438081,0,0.0,0.22,0.0,0,0.0,0.26,0.0,7,8761.62,0.3,0.0438081,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-10-29 06:00:00,2013-10-29 06:07:00,7,8761.62,0.037967020000000004,0,0.0,0.22,0.0,7,8761.62,0.26,0.037967020000000004,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-11-01_01,Tumble Dryer,original,,2013-11-01 07:13:00,2013-11-01 07:31:00,18,15417.07,0.0668073033333333,0,0.0,0.22,0.0,18,15417.069999999994,0.26,0.0668073033333333,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-01 07:18:00,2013-11-01 07:36:00,18,15417.07,0.0668073033333333,0,0.0,0.22,0.0,18,15417.069999999994,0.26,0.0668073033333333,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-11-08_01,Tumble Dryer,original,,2013-11-08 16:12:00,2013-11-08 16:18:00,6,24.0,0.00012800000000000002,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,6,24.0,0.32,0.00012800000000000002,0,0.0,0.28,0.0,scheduled,,2013-11-09 06:00:00,2013-11-09 06:06:00,6,24.0,0.00010400000000000001,0,0.0,0.22,0.0,6,24.0,0.26,0.00010400000000000001,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-11-13_01,Tumble Dryer,original,,2013-11-13 11:51:00,2013-11-13 11:56:00,5,279.25,0.00139625,0,0.0,0.22,0.0,0,0.0,0.26,0.0,5,279.25,0.3,0.00139625,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-14 06:00:00,2013-11-14 06:05:00,5,279.25,0.0012100833333333334,0,0.0,0.22,0.0,5,279.25,0.26,0.0012100833333333334,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-11-14_01,Tumble Dryer,original,,2013-11-14 18:11:00,2013-11-14 18:20:00,9,544.0,0.002901333333333333,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,9,544.0,0.32,0.002901333333333333,0,0.0,0.28,0.0,scheduled,,2013-11-15 06:00:00,2013-11-15 06:09:00,9,544.0,0.0023573333333333332,0,0.0,0.22,0.0,9,544.0,0.26,0.0023573333333333332,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-11-15_01,Tumble Dryer,original,,2013-11-15 06:59:00,2013-11-15 07:11:00,12,1536.0,0.0066560000000000005,0,0.0,0.22,0.0,12,1536.0,0.26,0.0066560000000000005,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-15 07:04:00,2013-11-15 07:16:00,12,1536.0,0.0066560000000000005,0,0.0,0.22,0.0,12,1536.0,0.26,0.0066560000000000005,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Tumble_Dryer_2013-11-16_01,Tumble Dryer,original,,2013-11-16 07:16:00,2013-11-16 07:23:00,7,12769.66,0.05533519333333333,0,0.0,0.22,0.0,7,12769.659999999998,0.26,0.05533519333333333,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-16 07:21:00,2013-11-16 07:28:00,7,12769.66,0.05533519333333333,0,0.0,0.22,0.0,7,12769.659999999998,0.26,0.05533519333333333,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
