event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost,level_2_minutes,level_2_W,level_2_rate,level_2_cost,level_3_minutes,level_3_W,level_3_rate,level_3_cost,level_4_minutes,level_4_W,level_4_rate,level_4_cost,level_5_minutes,level_5_W,level_5_rate,level_5_cost
Fridge-Freezer_2013-12-17_01,Fridge-Freezer,original,,2013-12-17 18:39:00,2013-12-17 21:32:00,173,11582.99,0.057669453102119385,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,81,5423.249653179184,0.32,0.02892399815028898,92,6159.740346820801,0.28,0.028745454951830406
Fridge-Freezer_2013-12-18_01,Fridge-Freezer,original,,2013-12-18 00:03:00,2013-12-18 00:31:00,28,2008.26,0.007363619999999997,28,2008.2599999999995,0.22,0.007363619999999997,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_02,Fridge-Freezer,original,,2013-12-18 02:17:00,2013-12-18 03:15:00,58,3983.71,0.014606936666666678,58,3983.7100000000023,0.22,0.014606936666666678,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_03,Fridge-Freezer,original,,2013-12-18 05:40:00,2013-12-18 06:18:00,38,2815.06,0.012198593333333334,0,0.0,0.22,0.0,38,2815.06,0.26,0.012198593333333334,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_04,Fridge-Freezer,original,,2013-12-18 08:20:00,2013-12-18 08:58:00,38,2835.92,0.014179600000000004,0,0.0,0.22,0.0,0,0.0,0.26,0.0,38,2835.9200000000005,0.3,0.014179600000000004,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_05,Fridge-Freezer,original,,2013-12-18 10:53:00,2013-12-18 11:30:00,37,2756.27,0.01378135,0,0.0,0.22,0.0,0,0.0,0.26,0.0,37,2756.27,0.3,0.01378135,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_06,Fridge-Freezer,original,,2013-12-18 13:13:00,2013-12-18 13:40:00,27,2107.59,0.011943010000000006,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,27,2107.590000000001,0.34,0.011943010000000006,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_07,Fridge-Freezer,original,,2013-12-18 15:05:00,2013-12-18 15:36:00,31,2335.33,0.01323353666666666,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,31,2335.329999999999,0.34,0.01323353666666666,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_08,Fridge-Freezer,original,,2013-12-18 16:20:00,2013-12-18 16:52:00,32,2294.3,0.012236266666666674,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,32,2294.300000000001,0.32,0.012236266666666674,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_09,Fridge-Freezer,original,,2013-12-18 18:02:00,2013-12-18 18:57:00,55,3958.37,0.021111306666666683,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,55,3958.370000000003,0.32,0.021111306666666683,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-18_10,Fridge-Freezer,original,,2013-12-18 20:27:00,2013-12-18 21:05:00,38,2788.89,0.013014819999999993,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,38,2788.889999999998,0.28,0.013014819999999993
Fridge-Freezer_2013-12-18_11,Fridge-Freezer,original,,2013-12-18 22:30:00,2013-12-18 23:02:00,32,2321.66,0.010834413333333341,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,32,2321.6600000000017,0.28,0.010834413333333341
Fridge-Freezer_2013-12-19_01,Fridge-Freezer,original,,2013-12-19 00:30:00,2013-12-19 01:04:00,34,2522.19,0.00924803,34,2522.19,0.22,0.00924803,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-19_02,Fridge-Freezer,original,,2013-12-19 02:40:00,2013-12-19 03:18:00,38,2792.69,0.01023986333333333,38,2792.689999999999,0.22,0.01023986333333333,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-19_03,Fridge-Freezer,original,,2013-12-19 05:09:00,2013-12-19 05:51:00,42,3127.66,0.013553193333333343,0,0.0,0.22,0.0,42,3127.660000000002,0.26,0.013553193333333343,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-19_04,Fridge-Freezer,original,,2013-12-19 08:04:00,2013-12-19 09:00:00,56,4023.2,0.020116000000000002,0,0.0,0.22,0.0,0,0.0,0.26,0.0,56,4023.2000000000003,0.3,0.020116000000000002,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-19_05,Fridge-Freezer,original,,2013-12-19 11:10:00,2013-12-19 12:13:00,63,4582.96,0.023545260105820084,0,0.0,0.22,0.0,0,0.0,0.26,0.0,50,3637.2698412698373,0.3,0.018186349206349185,13,945.6901587301587,0.34,0.005358910899470899,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge-Freezer_2013-12-19_06,Fridge-Freezer,original,,2013-12-19 13:56:00,2013-12-19 14:45:00,49,3515.94,0.01992365999999998,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,49,3515.939999999996,0.34,0.01992365999999998,0,0.0,0.32,0.0,0,0.0,0.28,0.0
