event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost,level_2_minutes,level_2_W,level_2_rate,level_2_cost
Fridge_2014-06-20_01,Fridge,original,summer,2014-06-20 13:18:00,2014-06-20 13:32:00,14,216.8,0.0014453333333333338,14,216.80000000000004,0.4,0.0014453333333333338,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2014-08-13_01,Fridge,original,summer,2014-08-13 21:52:00,2014-08-13 21:58:00,6,307.2,0.0024576000000000003,0,0.0,0.4,0.0,6,307.2,0.48,0.0024576000000000003,0,0.0,0.6,0.0
Fridge_2015-06-01_01,Fridge,original,summer,2015-06-01 01:06:00,2015-06-01 01:33:00,27,957.36,0.0063824,27,957.36,0.4,0.0063824,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_02,Fridge,original,summer,2015-06-01 02:18:00,2015-06-01 02:42:00,24,866.75,0.005778333333333335,24,866.7500000000002,0.4,0.005778333333333335,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_03,Fridge,original,summer,2015-06-01 03:30:00,2015-06-01 03:55:00,25,888.35,0.005922333333333333,25,888.3499999999999,0.4,0.005922333333333333,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_04,Fridge,original,summer,2015-06-01 04:46:00,2015-06-01 05:10:00,24,853.83,0.005692199999999999,24,853.8299999999998,0.4,0.005692199999999999,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_05,Fridge,original,summer,2015-06-01 06:03:00,2015-06-01 06:27:00,24,890.4,0.005936000000000003,24,890.4000000000003,0.4,0.005936000000000003,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_06,Fridge,original,summer,2015-06-01 07:21:00,2015-06-01 07:46:00,25,864.44,0.005762933333333333,25,864.4399999999998,0.4,0.005762933333333333,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_07,Fridge,original,summer,2015-06-01 08:43:00,2015-06-01 09:07:00,24,848.25,0.005655,24,848.25,0.4,0.005655,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_08,Fridge,original,summer,2015-06-01 10:04:00,2015-06-01 10:29:00,25,927.41,0.006182733333333336,25,927.4100000000002,0.4,0.006182733333333336,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_09,Fridge,original,summer,2015-06-01 11:26:00,2015-06-01 11:49:00,23,788.17,0.0052544666666666665,23,788.17,0.4,0.0052544666666666665,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_10,Fridge,original,summer,2015-06-01 12:46:00,2015-06-01 13:09:00,23,850.81,0.005672066666666667,23,850.81,0.4,0.005672066666666667,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-01_11,Fridge,original,summer,2015-06-01 14:01:00,2015-06-01 14:28:00,27,7921.89,0.06337512000000003,0,0.0,0.4,0.0,27,7921.890000000004,0.48,0.06337512000000003,0,0.0,0.6,0.0
Fridge_2015-06-01_12,Fridge,original,summer,2015-06-01 15:23:00,2015-06-01 15:47:00,24,850.11,0.006800879999999999,0,0.0,0.4,0.0,24,850.1099999999998,0.48,0.006800879999999999,0,0.0,0.6,0.0
Fridge_2015-06-01_13,Fridge,original,summer,2015-06-01 16:42:00,2015-06-01 17:06:00,24,836.89,0.007113564999999999,0,0.0,0.4,0.0,18,627.6674999999998,0.48,0.005021339999999999,6,209.2225,0.6,0.002092225
Fridge_2015-06-01_14,Fridge,original,summer,2015-06-01 17:58:00,2015-06-01 18:22:00,24,874.58,0.0087458,0,0.0,0.4,0.0,0,0.0,0.48,0.0,24,874.58,0.6,0.0087458
Fridge_2015-06-01_15,Fridge,original,summer,2015-06-01 19:10:00,2015-06-01 19:35:00,25,894.32,0.008943199999999997,0,0.0,0.4,0.0,0,0.0,0.48,0.0,25,894.3199999999998,0.6,0.008943199999999997
Fridge_2015-06-01_16,Fridge,original,summer,2015-06-01 20:27:00,2015-06-01 20:50:00,23,813.41,0.006507280000000001,0,0.0,0.4,0.0,23,813.4100000000001,0.48,0.006507280000000001,0,0.0,0.6,0.0
Fridge_2015-06-01_17,Fridge,original,summer,2015-06-01 21:42:00,2015-06-01 22:04:00,22,867.31,0.006938479999999997,0,0.0,0.4,0.0,22,867.3099999999997,0.48,0.006938479999999997,0,0.0,0.6,0.0
Fridge_2015-06-01_18,Fridge,original,summer,2015-06-01 22:57:00,2015-06-01 23:21:00,24,843.78,0.006750240000000004,0,0.0,0.4,0.0,24,843.7800000000004,0.48,0.006750240000000004,0,0.0,0.6,0.0
Fridge_2015-06-02_01,Fridge,original,summer,2015-06-02 00:11:00,2015-06-02 00:35:00,24,876.19,0.005841266666666669,24,876.1900000000003,0.4,0.005841266666666669,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_02,Fridge,original,summer,2015-06-02 01:23:00,2015-06-02 01:46:00,23,834.01,0.005560066666666668,23,834.0100000000001,0.4,0.005560066666666668,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_03,Fridge,original,summer,2015-06-02 02:36:00,2015-06-02 02:58:00,22,800.81,0.0053387333333333314,22,800.8099999999997,0.4,0.0053387333333333314,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_04,Fridge,original,summer,2015-06-02 03:47:00,2015-06-02 04:11:00,24,866.1,0.005773999999999998,24,866.0999999999997,0.4,0.005773999999999998,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_05,Fridge,original,summer,2015-06-02 05:04:00,2015-06-02 05:27:00,23,823.9,0.005492666666666667,23,823.9000000000001,0.4,0.005492666666666667,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_06,Fridge,original,summer,2015-06-02 06:21:00,2015-06-02 06:45:00,24,857.24,0.005714933333333337,24,857.2400000000005,0.4,0.005714933333333337,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_07,Fridge,original,summer,2015-06-02 07:41:00,2015-06-02 08:05:00,24,862.17,0.005747800000000002,24,862.1700000000002,0.4,0.005747800000000002,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_08,Fridge,original,summer,2015-06-02 09:03:00,2015-06-02 09:26:00,23,837.14,0.005580933333333334,23,837.14,0.4,0.005580933333333334,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_09,Fridge,original,summer,2015-06-02 10:24:00,2015-06-02 10:47:00,23,836.22,0.005574800000000004,23,836.2200000000005,0.4,0.005574800000000004,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_10,Fridge,original,summer,2015-06-02 11:44:00,2015-06-02 12:06:00,22,812.28,0.0054151999999999985,22,812.2799999999997,0.4,0.0054151999999999985,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_11,Fridge,original,summer,2015-06-02 12:51:00,2015-06-02 13:14:00,23,857.42,0.005716133333333331,23,857.4199999999997,0.4,0.005716133333333331,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-02_12,Fridge,original,summer,2015-06-02 14:03:00,2015-06-02 14:25:00,22,792.54,0.006340319999999998,0,0.0,0.4,0.0,22,792.5399999999997,0.48,0.006340319999999998,0,0.0,0.6,0.0
Fridge_2015-06-02_13,Fridge,original,summer,2015-06-02 15:19:00,2015-06-02 15:42:00,23,829.72,0.006637759999999999,0,0.0,0.4,0.0,23,829.7199999999999,0.48,0.006637759999999999,0,0.0,0.6,0.0
Fridge_2015-06-02_14,Fridge,original,summer,2015-06-02 16:37:00,2015-06-02 16:59:00,22,786.86,0.0062948799999999975,0,0.0,0.4,0.0,22,786.8599999999998,0.48,0.0062948799999999975,0,0.0,0.6,0.0
Fridge_2015-06-02_15,Fridge,original,summer,2015-06-02 17:54:00,2015-06-02 18:17:00,23,834.03,0.0083403,0,0.0,0.4,0.0,0,0.0,0.48,0.0,23,834.0300000000001,0.6,0.0083403
Fridge_2015-06-02_16,Fridge,original,summer,2015-06-02 19:13:00,2015-06-02 19:35:00,22,784.89,0.007848899999999997,0,0.0,0.4,0.0,0,0.0,0.48,0.0,22,784.8899999999998,0.6,0.007848899999999997
Fridge_2015-06-02_17,Fridge,original,summer,2015-06-02 20:30:00,2015-06-02 20:52:00,22,805.65,0.0064452,0,0.0,0.4,0.0,22,805.65,0.48,0.0064452,0,0.0,0.6,0.0
Fridge_2015-06-02_18,Fridge,original,summer,2015-06-02 21:47:00,2015-06-02 22:10:00,23,814.85,0.006518799999999999,0,0.0,0.4,0.0,23,814.8499999999999,0.48,0.006518799999999999,0,0.0,0.6,0.0
Fridge_2015-06-02_19,Fridge,original,summer,2015-06-02 22:56:00,2015-06-02 23:19:00,23,828.88,0.006631039999999997,0,0.0,0.4,0.0,23,828.8799999999997,0.48,0.006631039999999997,0,0.0,0.6,0.0
Fridge_2015-06-03_01,Fridge,original,summer,2015-06-03 00:12:00,2015-06-03 00:37:00,25,916.83,0.0061121999999999965,25,916.8299999999995,0.4,0.0061121999999999965,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_02,Fridge,original,summer,2015-06-03 01:22:00,2015-06-03 01:47:00,25,964.81,0.0064320666666666665,25,964.81,0.4,0.0064320666666666665,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_03,Fridge,original,summer,2015-06-03 02:36:00,2015-06-03 03:00:00,24,863.0,0.005753333333333335,24,863.0000000000002,0.4,0.005753333333333335,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_04,Fridge,original,summer,2015-06-03 03:50:00,2015-06-03 04:13:00,23,822.32,0.005482133333333334,23,822.3200000000002,0.4,0.005482133333333334,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_05,Fridge,original,summer,2015-06-03 05:02:00,2015-06-03 05:24:00,22,824.47,0.005496466666666668,22,824.4700000000003,0.4,0.005496466666666668,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_06,Fridge,original,summer,2015-06-03 06:17:00,2015-06-03 06:41:00,24,853.47,0.005689799999999998,24,853.4699999999996,0.4,0.005689799999999998,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_07,Fridge,original,summer,2015-06-03 07:35:00,2015-06-03 08:00:00,25,852.75,0.0056850000000000026,25,852.7500000000002,0.4,0.0056850000000000026,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_08,Fridge,original,summer,2015-06-03 08:56:00,2015-06-03 09:18:00,22,804.9,0.005366000000000002,22,804.9000000000002,0.4,0.005366000000000002,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_09,Fridge,original,summer,2015-06-03 10:14:00,2015-06-03 10:38:00,24,905.31,0.006035400000000003,24,905.3100000000004,0.4,0.006035400000000003,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_10,Fridge,original,summer,2015-06-03 11:43:00,2015-06-03 11:55:00,12,407.31,0.0027154,12,407.31,0.4,0.0027154,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_11,Fridge,original,summer,2015-06-03 12:49:00,2015-06-03 13:11:00,22,798.96,0.005326400000000003,22,798.9600000000004,0.4,0.005326400000000003,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-03_12,Fridge,original,summer,2015-06-03 14:06:00,2015-06-03 14:28:00,22,854.42,0.006835360000000001,0,0.0,0.4,0.0,22,854.4200000000002,0.48,0.006835360000000001,0,0.0,0.6,0.0
Fridge_2015-06-03_13,Fridge,original,summer,2015-06-03 15:22:00,2015-06-03 15:44:00,22,794.69,0.00635752,0,0.0,0.4,0.0,22,794.69,0.48,0.00635752,0,0.0,0.6,0.0
Fridge_2015-06-03_14,Fridge,original,summer,2015-06-03 16:39:00,2015-06-03 17:00:00,21,789.74,0.006317920000000002,0,0.0,0.4,0.0,21,789.7400000000002,0.48,0.006317920000000002,0,0.0,0.6,0.0
Fridge_2015-06-03_15,Fridge,original,summer,2015-06-03 17:54:00,2015-06-03 18:16:00,22,792.57,0.007925699999999997,0,0.0,0.4,0.0,0,0.0,0.48,0.0,22,792.5699999999997,0.6,0.007925699999999997
Fridge_2015-06-03_16,Fridge,original,summer,2015-06-03 18:50:00,2015-06-03 19:14:00,24,875.56,0.008755600000000002,0,0.0,0.4,0.0,0,0.0,0.48,0.0,24,875.5600000000002,0.6,0.008755600000000002
Fridge_2015-06-03_17,Fridge,original,summer,2015-06-03 20:00:00,2015-06-03 20:23:00,23,806.99,0.006455919999999996,0,0.0,0.4,0.0,23,806.9899999999996,0.48,0.006455919999999996,0,0.0,0.6,0.0
Fridge_2015-06-03_18,Fridge,original,summer,2015-06-03 21:11:00,2015-06-03 21:34:00,23,826.72,0.006613760000000003,0,0.0,0.4,0.0,23,826.7200000000004,0.48,0.006613760000000003,0,0.0,0.6,0.0
Fridge_2015-06-03_19,Fridge,original,summer,2015-06-03 22:23:00,2015-06-03 22:49:00,26,965.67,0.007725360000000002,0,0.0,0.4,0.0,26,965.6700000000003,0.48,0.007725360000000002,0,0.0,0.6,0.0
Fridge_2015-06-03_20,Fridge,original,summer,2015-06-03 23:32:00,2015-06-03 23:55:00,23,827.29,0.0066183200000000005,0,0.0,0.4,0.0,23,827.2900000000001,0.48,0.0066183200000000005,0,0.0,0.6,0.0
Fridge_2015-06-04_01,Fridge,original,summer,2015-06-04 00:39:00,2015-06-04 01:04:00,25,909.01,0.00606006666666667,25,909.0100000000004,0.4,0.00606006666666667,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-04_02,Fridge,original,summer,2015-06-04 01:51:00,2015-06-04 02:15:00,24,863.71,0.005758066666666669,24,863.7100000000003,0.4,0.005758066666666669,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Fridge_2015-06-04_03,Fridge,original,summer,2015-06-04 03:04:00,2015-06-04 03:27:00,23,827.72,0.005518133333333333,23,827.7199999999999,0.4,0.005518133333333333,0,0.0,0.48,0.0,0,0.0,0.6,0.0
