event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost,level_2_minutes,level_2_W,level_2_rate,level_2_cost
Fridge-Freezer_2013-12-17_01,Fridge-Freezer,original,winter,2013-12-17 18:39:00,2013-12-17 21:32:00,173,11582.99,0.09332229804431587,0,0.0,0.43,0.0,92,6159.740346820801,0.46,0.04722467599229281,81,5423.249653179184,0.51,0.04609762205202306
Fridge-Freezer_2013-12-18_01,Fridge-Freezer,original,winter,2013-12-18 00:03:00,2013-12-18 00:31:00,28,2008.26,0.014392529999999994,28,2008.2599999999995,0.43,0.014392529999999994,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_02,Fridge-Freezer,original,winter,2013-12-18 02:17:00,2013-12-18 03:15:00,58,3983.71,0.028549921666666686,58,3983.7100000000023,0.43,0.028549921666666686,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_03,Fridge-Freezer,original,winter,2013-12-18 05:40:00,2013-12-18 06:18:00,38,2815.06,0.02017459666666667,38,2815.06,0.43,0.02017459666666667,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_04,Fridge-Freezer,original,winter,2013-12-18 08:20:00,2013-12-18 08:58:00,38,2835.92,0.020324093333333338,38,2835.9200000000005,0.43,0.020324093333333338,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_05,Fridge-Freezer,original,winter,2013-12-18 10:53:00,2013-12-18 11:30:00,37,2756.27,0.01975326833333333,37,2756.27,0.43,0.01975326833333333,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_06,Fridge-Freezer,original,winter,2013-12-18 13:13:00,2013-12-18 13:40:00,27,2107.59,0.015104395000000005,27,2107.590000000001,0.43,0.015104395000000005,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_07,Fridge-Freezer,original,winter,2013-12-18 15:05:00,2013-12-18 15:36:00,31,2335.33,0.01673653166666666,31,2335.329999999999,0.43,0.01673653166666666,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_08,Fridge-Freezer,original,winter,2013-12-18 16:20:00,2013-12-18 16:52:00,32,2294.3,0.01644248333333334,32,2294.300000000001,0.43,0.01644248333333334,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_09,Fridge-Freezer,original,winter,2013-12-18 18:02:00,2013-12-18 18:57:00,55,3958.37,0.03364614500000002,0,0.0,0.43,0.0,0,0.0,0.46,0.0,55,3958.370000000003,0.51,0.03364614500000002
Fridge-Freezer_2013-12-18_10,Fridge-Freezer,original,winter,2013-12-18 20:27:00,2013-12-18 21:05:00,38,2788.89,0.021381489999999986,0,0.0,0.43,0.0,38,2788.889999999998,0.46,0.021381489999999986,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-18_11,Fridge-Freezer,original,winter,2013-12-18 22:30:00,2013-12-18 23:02:00,32,2321.66,0.016638563333333342,32,2321.6600000000017,0.43,0.016638563333333342,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_01,Fridge-Freezer,original,winter,2013-12-19 00:30:00,2013-12-19 01:04:00,34,2522.19,0.018075695000000003,34,2522.19,0.43,0.018075695000000003,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_02,Fridge-Freezer,original,winter,2013-12-19 02:40:00,2013-12-19 03:18:00,38,2792.69,0.020014278333333326,38,2792.689999999999,0.43,0.020014278333333326,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_03,Fridge-Freezer,original,winter,2013-12-19 05:09:00,2013-12-19 05:51:00,42,3127.66,0.022414896666666684,42,3127.660000000002,0.43,0.022414896666666684,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_04,Fridge-Freezer,original,winter,2013-12-19 08:04:00,2013-12-19 09:00:00,56,4023.2,0.028832933333333335,56,4023.2000000000003,0.43,0.028832933333333335,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_05,Fridge-Freezer,original,winter,2013-12-19 11:10:00,2013-12-19 12:13:00,63,4582.96,0.032844546666666634,63,4582.959999999995,0.43,0.032844546666666634,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_06,Fridge-Freezer,original,winter,2013-12-19 13:56:00,2013-12-19 14:45:00,49,3515.94,0.02519756999999997,49,3515.939999999996,0.43,0.02519756999999997,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-19_07,Fridge-Freezer,original,winter,2013-12-19 16:26:00,2013-12-19 17:13:00,47,3355.12,0.02528237588652482,34,2427.1080851063834,0.43,0.01739427460992908,0,0.0,0.46,0.0,13,928.0119148936168,0.51,0.007888101276595743
Fridge-Freezer_2013-12-19_08,Fridge-Freezer,original,winter,2013-12-19 18:57:00,2013-12-19 23:01:00,244,15981.45,0.12396540040983604,61,3995.362500000004,0.43,0.028633431250000025,120,7859.7295081967095,0.46,0.06025792622950811,63,4126.357991803283,0.51,0.03507404293032791
Fridge-Freezer_2013-12-20_01,Fridge-Freezer,original,winter,2013-12-20 01:33:00,2013-12-20 02:00:00,27,1971.6,0.014129799999999994,27,1971.599999999999,0.43,0.014129799999999994,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_02,Fridge-Freezer,original,winter,2013-12-20 04:32:00,2013-12-20 04:59:00,27,2005.62,0.01437360999999999,27,2005.6199999999985,0.43,0.01437360999999999,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_03,Fridge-Freezer,original,winter,2013-12-20 07:31:00,2013-12-20 07:58:00,27,2034.46,0.014580296666666673,27,2034.460000000001,0.43,0.014580296666666673,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_04,Fridge-Freezer,original,winter,2013-12-20 10:00:00,2013-12-20 10:47:00,47,3451.9,0.024738616666666668,47,3451.9,0.43,0.024738616666666668,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_05,Fridge-Freezer,original,winter,2013-12-20 12:53:00,2013-12-20 13:30:00,37,2807.23,0.020118481666666674,37,2807.230000000001,0.43,0.020118481666666674,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_06,Fridge-Freezer,original,winter,2013-12-20 15:18:00,2013-12-20 16:03:00,45,3340.49,0.023940178333333346,45,3340.4900000000016,0.43,0.023940178333333346,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_07,Fridge-Freezer,original,winter,2013-12-20 17:38:00,2013-12-20 18:09:00,31,2316.34,0.019688889999999997,0,0.0,0.43,0.0,0,0.0,0.46,0.0,31,2316.3399999999997,0.51,0.019688889999999997
Fridge-Freezer_2013-12-20_08,Fridge-Freezer,original,winter,2013-12-20 19:34:00,2013-12-20 20:12:00,38,2848.32,0.023461162105263167,0,0.0,0.43,0.0,12,899.4694736842108,0.46,0.00689593263157895,26,1948.8505263157904,0.51,0.016565229473684218
Fridge-Freezer_2013-12-20_09,Fridge-Freezer,original,winter,2013-12-20 21:26:00,2013-12-20 22:08:00,42,2845.91,0.021547604285714294,8,542.0780952380952,0.43,0.003884893015873016,34,2303.8319047619057,0.46,0.01766271126984128,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-20_10,Fridge-Freezer,original,winter,2013-12-20 23:51:00,2013-12-21 00:24:00,33,2430.32,0.017417293333333337,33,2430.3200000000006,0.43,0.017417293333333337,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_01,Fridge-Freezer,original,winter,2013-12-21 02:04:00,2013-12-21 02:31:00,27,2107.38,0.015102890000000004,27,2107.3800000000006,0.43,0.015102890000000004,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_02,Fridge-Freezer,original,winter,2013-12-21 04:07:00,2013-12-21 04:35:00,28,2102.07,0.015064834999999995,28,2102.0699999999993,0.43,0.015064834999999995,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_03,Fridge-Freezer,original,winter,2013-12-21 06:11:00,2013-12-21 06:39:00,28,2141.14,0.015344836666666662,28,2141.1399999999994,0.43,0.015344836666666662,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_04,Fridge-Freezer,original,winter,2013-12-21 08:17:00,2013-12-21 08:44:00,27,2058.6,0.014753300000000006,27,2058.600000000001,0.43,0.014753300000000006,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_05,Fridge-Freezer,original,winter,2013-12-21 10:18:00,2013-12-21 10:48:00,30,2212.47,0.015856034999999997,30,2212.47,0.43,0.015856034999999997,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_06,Fridge-Freezer,original,winter,2013-12-21 12:19:00,2013-12-21 12:42:00,23,3195.66,0.022902229999999992,23,3195.659999999999,0.43,0.022902229999999992,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_07,Fridge-Freezer,original,winter,2013-12-21 12:46:00,2013-12-21 13:17:00,31,2476.26,0.017746530000000017,31,2476.260000000002,0.43,0.017746530000000017,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_08,Fridge-Freezer,original,winter,2013-12-21 14:31:00,2013-12-21 14:53:00,22,1737.51,0.012452154999999996,22,1737.5099999999993,0.43,0.012452154999999996,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_09,Fridge-Freezer,original,winter,2013-12-21 16:11:00,2013-12-21 16:36:00,25,1877.0,0.013451833333333328,25,1876.9999999999993,0.43,0.013451833333333328,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_10,Fridge-Freezer,original,winter,2013-12-21 17:22:00,2013-12-21 17:53:00,31,2316.56,0.019690759999999995,0,0.0,0.43,0.0,0,0.0,0.46,0.0,31,2316.5599999999995,0.51,0.019690759999999995
Fridge-Freezer_2013-12-21_11,Fridge-Freezer,original,winter,2013-12-21 18:53:00,2013-12-21 20:00:00,67,4949.15,0.04206777499999999,0,0.0,0.43,0.0,0,0.0,0.46,0.0,67,4949.149999999999,0.51,0.04206777499999999
Fridge-Freezer_2013-12-21_12,Fridge-Freezer,original,winter,2013-12-21 21:01:00,2013-12-21 21:27:00,26,1967.56,0.015084626666666675,0,0.0,0.43,0.0,26,1967.5600000000009,0.46,0.015084626666666675,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-21_13,Fridge-Freezer,original,winter,2013-12-21 22:33:00,2013-12-21 23:31:00,58,4148.85,0.029733424999999983,58,4148.849999999998,0.43,0.029733424999999983,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_01,Fridge-Freezer,original,winter,2013-12-22 01:21:00,2013-12-22 01:59:00,38,2831.81,0.020294638333333323,38,2831.809999999999,0.43,0.020294638333333323,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_02,Fridge-Freezer,original,winter,2013-12-22 03:53:00,2013-12-22 04:30:00,37,2753.86,0.01973599666666666,37,2753.8599999999997,0.43,0.01973599666666666,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_03,Fridge-Freezer,original,winter,2013-12-22 06:34:00,2013-12-22 07:18:00,44,3274.98,0.02347068999999999,44,3274.979999999998,0.43,0.02347068999999999,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_04,Fridge-Freezer,original,winter,2013-12-22 09:50:00,2013-12-22 10:17:00,27,2088.9,0.014970450000000012,27,2088.9000000000015,0.43,0.014970450000000012,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_05,Fridge-Freezer,original,winter,2013-12-22 12:08:00,2013-12-22 12:46:00,38,2913.56,0.02088051333333334,38,2913.560000000001,0.43,0.02088051333333334,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_06,Fridge-Freezer,original,winter,2013-12-22 15:01:00,2013-12-22 15:47:00,46,3401.02,0.024373976666666672,46,3401.020000000001,0.43,0.024373976666666672,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_07,Fridge-Freezer,original,winter,2013-12-22 18:18:00,2013-12-22 18:45:00,27,2051.28,0.01743588,0,0.0,0.43,0.0,0,0.0,0.46,0.0,27,2051.28,0.51,0.01743588
Fridge-Freezer_2013-12-22_08,Fridge-Freezer,original,winter,2013-12-22 21:17:00,2013-12-22 21:44:00,27,2053.83,0.015746029999999998,0,0.0,0.43,0.0,27,2053.83,0.46,0.015746029999999998,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-22_09,Fridge-Freezer,original,winter,2013-12-22 23:47:00,2013-12-23 00:44:00,57,4275.35,0.030640008333333312,57,4275.349999999997,0.43,0.030640008333333312,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_01,Fridge-Freezer,original,winter,2013-12-23 03:15:00,2013-12-23 03:43:00,28,2070.99,0.014842095,28,2070.9900000000002,0.43,0.014842095,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_02,Fridge-Freezer,original,winter,2013-12-23 06:14:00,2013-12-23 06:41:00,27,2106.66,0.015097730000000004,27,2106.6600000000008,0.43,0.015097730000000004,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_03,Fridge-Freezer,original,winter,2013-12-23 09:08:00,2013-12-23 09:50:00,42,3137.61,0.02248620499999999,42,3137.6099999999983,0.43,0.02248620499999999,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_04,Fridge-Freezer,original,winter,2013-12-23 12:21:00,2013-12-23 12:48:00,27,2086.52,0.014953393333333327,27,2086.519999999999,0.43,0.014953393333333327,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_05,Fridge-Freezer,original,winter,2013-12-23 14:43:00,2013-12-23 15:20:00,37,2827.68,0.020265039999999988,37,2827.679999999999,0.43,0.020265039999999988,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_06,Fridge-Freezer,original,winter,2013-12-23 16:39:00,2013-12-23 17:27:00,48,3481.97,0.027565595833333317,21,1523.3618749999994,0.43,0.010917426770833327,0,0.0,0.46,0.0,27,1958.608124999999,0.51,0.016648169062499992
Fridge-Freezer_2013-12-23_07,Fridge-Freezer,original,winter,2013-12-23 18:27:00,2013-12-23 18:57:00,30,2226.88,0.01892848000000001,0,0.0,0.43,0.0,0,0.0,0.46,0.0,30,2226.8800000000015,0.51,0.01892848000000001
Fridge-Freezer_2013-12-23_08,Fridge-Freezer,original,winter,2013-12-23 20:16:00,2013-12-23 20:43:00,27,2008.26,0.015396660000000008,0,0.0,0.43,0.0,27,2008.2600000000011,0.46,0.015396660000000008,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_09,Fridge-Freezer,original,winter,2013-12-23 21:53:00,2013-12-23 22:20:00,27,1999.02,0.014585442222222224,20,1480.755555555556,0.43,0.010612081481481484,7,518.2644444444444,0.46,0.003973360740740741,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-23_10,Fridge-Freezer,original,winter,2013-12-23 23:34:00,2013-12-24 00:04:00,30,2236.01,0.01602473833333334,30,2236.0100000000007,0.43,0.01602473833333334,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-24_01,Fridge-Freezer,original,winter,2013-12-24 01:31:00,2013-12-24 01:59:00,28,2123.35,0.015217341666666656,28,2123.349999999999,0.43,0.015217341666666656,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-24_02,Fridge-Freezer,original,winter,2013-12-24 03:32:00,2013-12-24 04:09:00,37,2721.64,0.01950508666666665,37,2721.6399999999976,0.43,0.01950508666666665,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Fridge-Freezer_2013-12-24_03,Fridge-Freezer,original,winter,2013-12-24 06:07:00,2013-12-24 06:42:00,35,2621.3,0.018785983333333315,35,2621.299999999998,0.43,0.018785983333333315,0,0.0,0.46,0.0,0,0.0,0.51,0.0
