event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,orig_level_2_minutes,orig_level_2_W,orig_level_2_rate,orig_level_2_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost,sched_level_2_minutes,sched_level_2_W,sched_level_2_rate,sched_level_2_cost
Washing_Machine_2014-03-08_01,Washing Machine,original,winter,2014-03-08 21:00:00,2014-03-08 21:47:00,47,25484.42,0.19538055333333323,0,0.0,0.43,0.0,47,25484.419999999987,0.46,0.19538055333333323,0,0.0,0.51,0.0,scheduled,winter,2014-03-08 22:00:00,2014-03-08 22:47:00,47,25484.42,0.18263834333333323,47,25484.419999999987,0.43,0.18263834333333323,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-03-08_02,Washing Machine,original,winter,2014-03-08 21:49:00,2014-03-08 22:00:00,11,197.15,0.0015114833333333337,0,0.0,0.43,0.0,11,197.15000000000003,0.46,0.0015114833333333337,0,0.0,0.51,0.0,scheduled,winter,2014-03-09 06:00:00,2014-03-09 06:11:00,11,197.15,0.0014129083333333336,11,197.15000000000003,0.43,0.0014129083333333336,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-03-18_01,Washing Machine,original,winter,2014-03-18 21:36:00,2014-03-18 23:20:00,104,14418.24,0.10499436307692317,80,11090.953846153858,0.43,0.07948516923076931,24,3327.2861538461552,0.46,0.025509193846153858,0,0.0,0.51,0.0,scheduled,winter,2014-03-19 06:00:00,2014-03-19 07:44:00,104,14418.24,0.10333072000000011,104,14418.240000000016,0.43,0.10333072000000011,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-03-22_01,Washing Machine,original,winter,2014-03-22 21:27:00,2014-03-22 23:11:00,104,15260.27,0.11178636886217957,71,10418.068942307706,0.43,0.07466282741987187,33,4842.201057692308,0.46,0.03712354144230769,0,0.0,0.51,0.0,scheduled,winter,2014-03-23 06:00:00,2014-03-23 07:44:00,104,15260.27,0.10936526833333364,104,15260.270000000042,0.43,0.10936526833333364,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-03-26_02,Washing Machine,original,winter,2014-03-26 20:32:00,2014-03-26 21:52:00,80,11747.48,0.09006401333333348,0,0.0,0.43,0.0,80,11747.48000000002,0.46,0.09006401333333348,0,0.0,0.51,0.0,scheduled,winter,2014-03-26 22:00:00,2014-03-26 23:20:00,80,11747.48,0.08419027333333347,80,11747.48000000002,0.43,0.08419027333333347,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-04-03_01,Washing Machine,original,winter,2014-04-03 20:45:00,2014-04-03 22:31:00,106,11936.08,0.08976457647798734,31,3490.740377358489,0.43,0.025016972704402504,75,8445.3396226415,0.46,0.06474760377358484,0,0.0,0.51,0.0,scheduled,winter,2014-04-04 06:00:00,2014-04-04 07:46:00,106,11936.08,0.08554190666666656,106,11936.079999999985,0.43,0.08554190666666656,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-04-06_02,Washing Machine,original,winter,2014-04-06 20:00:00,2014-04-06 21:44:00,104,17380.33,0.13324919666666657,0,0.0,0.43,0.0,104,17380.329999999987,0.46,0.13324919666666657,0,0.0,0.51,0.0,scheduled,winter,2014-04-07 06:00:00,2014-04-07 07:44:00,104,17380.33,0.12455903166666657,104,17380.329999999987,0.43,0.12455903166666657,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-04-23_03,Washing Machine,original,winter,2014-04-23 20:54:00,2014-04-23 22:37:00,103,14769.73,0.1105817810841424,37,5305.631165048544,0.43,0.038023690016181236,66,9464.098834951457,0.46,0.07255809106796117,0,0.0,0.51,0.0,scheduled,winter,2014-04-24 06:00:00,2014-04-24 07:43:00,103,14769.73,0.10584973166666684,103,14769.730000000025,0.43,0.10584973166666684,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-04-27_02,Washing Machine,original,winter,2014-04-27 18:22:00,2014-04-27 20:02:00,100,11323.8,0.09606356999999993,0,0.0,0.43,0.0,2,226.476,0.46,0.0017363160000000001,98,11097.323999999991,0.51,0.09432725399999993,scheduled,winter,2014-04-28 06:00:00,2014-04-28 07:40:00,100,11323.8,0.08115389999999993,100,11323.79999999999,0.43,0.08115389999999993,0,0.0,0.46,0.0,0,0.0,0.51,0.0
Washing_Machine_2014-04-29_03,Washing Machine,original,winter,2014-04-29 20:53:00,2014-04-29 22:36:00,103,14640.64,0.10968634822006476,36,5117.1168932038845,0.43,0.036672671067961175,67,9523.52310679612,0.46,0.07301367715210359,0,0.0,0.51,0.0,scheduled,winter,2014-04-30 06:00:00,2014-04-30 07:43:00,103,14640.64,0.10492458666666656,103,14640.639999999983,0.43,0.10492458666666656,0,0.0,0.46,0.0,0,0.0,0.51,0.0
