event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost
Washing_Machine_(1)_2013-10-11_01,Washing Machine (1),original,,2013-10-11 10:19:00,2013-10-13 12:44:00,3025,73095.07,0.31473166504132777,840,20297.473983470973,0.15,0.050743684958677426,2185,52797.59601653007,0.3,0.26398798008265034,scheduled,,2013-10-12 06:00:00,2013-10-14 08:25:00,3025,73095.07,0.30929484165289667,930,22472.203338842755,0.15,0.05618050834710688,2095,50622.86666115796,0.3,0.2531143333057898
Washing_Machine_(1)_2013-10-27_01,Washing Machine (1),original,,2013-10-27 07:35:00,2013-10-27 08:41:00,66,53621.24,0.2681062000000001,0,0.0,0.15,0.0,66,53621.240000000034,0.3,0.2681062000000001,scheduled,,2013-10-28 06:00:00,2013-10-28 07:06:00,66,53621.24,0.13405310000000006,66,53621.240000000034,0.15,0.13405310000000006,0,0.0,0.3,0.0
Washing_Machine_(1)_2013-11-04_01,Washing Machine (1),original,,2013-11-04 10:06:00,2013-11-04 12:28:00,142,59431.49,0.29715745000000077,0,0.0,0.15,0.0,142,59431.49000000016,0.3,0.29715745000000077,scheduled,,2013-11-05 06:00:00,2013-11-05 08:22:00,142,59431.49,0.20298783556338018,90,37667.84577464789,0.15,0.09416961443661973,52,21763.644225352095,0.3,0.10881822112676047
Washing_Machine_(1)_2013-11-11_01,Washing Machine (1),original,,2013-11-11 10:04:00,2013-11-11 11:05:00,61,47981.84,0.23990920000000024,0,0.0,0.15,0.0,61,47981.840000000055,0.3,0.23990920000000024,scheduled,,2013-11-12 06:00:00,2013-11-12 07:01:00,61,47981.84,0.11995460000000012,61,47981.840000000055,0.15,0.11995460000000012,0,0.0,0.3,0.0
Washing_Machine_(1)_2013-11-18_01,Washing Machine (1),original,,2013-11-18 09:27:00,2013-11-18 10:49:00,82,62592.24,0.31296119999999994,0,0.0,0.15,0.0,82,62592.23999999998,0.3,0.31296119999999994,scheduled,,2013-11-19 06:00:00,2013-11-19 07:22:00,82,62592.24,0.15648059999999997,82,62592.23999999998,0.15,0.15648059999999997,0,0.0,0.3,0.0
Washing_Machine_(1)_2013-11-25_01,Washing Machine (1),original,,2013-11-25 14:00:00,2013-11-25 15:02:00,62,58381.14,0.2919056999999995,0,0.0,0.15,0.0,62,58381.139999999905,0.3,0.2919056999999995,scheduled,,2013-11-26 06:00:00,2013-11-26 07:02:00,62,58381.14,0.14595284999999975,62,58381.139999999905,0.15,0.14595284999999975,0,0.0,0.3,0.0
Washing_Machine_(1)_2013-12-02_01,Washing Machine (1),original,,2013-12-02 08:04:00,2013-12-02 09:16:00,72,64970.52,0.32485259999999966,0,0.0,0.15,0.0,72,64970.51999999994,0.3,0.32485259999999966,scheduled,,2013-12-03 06:00:00,2013-12-03 07:12:00,72,64970.52,0.16242629999999983,72,64970.51999999994,0.15,0.16242629999999983,0,0.0,0.3,0.0
Washing_Machine_(1)_2013-12-09_01,Washing Machine (1),original,,2013-12-09 10:53:00,2013-12-09 13:15:00,142,53413.18,0.26706589999999963,0,0.0,0.15,0.0,142,53413.17999999993,0.3,0.26706589999999963,scheduled,,2013-12-10 06:00:00,2013-12-10 08:22:00,142,53413.18,0.1824323401408452,90,33853.42394366202,0.15,0.08463355985915504,52,19559.756056338032,0.3,0.09779878028169016
Washing_Machine_(1)_2013-12-24_01,Washing Machine (1),original,,2013-12-24 16:04:00,2013-12-24 17:09:00,65,42182.76,0.2109138000000002,0,0.0,0.15,0.0,65,42182.760000000046,0.3,0.2109138000000002,scheduled,,2013-12-25 06:00:00,2013-12-25 07:05:00,65,42182.76,0.1054569000000001,65,42182.760000000046,0.15,0.1054569000000001,0,0.0,0.3,0.0
Washing_Machine_(1)_2014-01-02_01,Washing Machine (1),original,,2014-01-02 10:46:00,2014-01-02 12:53:00,127,59320.21,0.29660105,0,0.0,0.15,0.0,127,59320.21,0.3,0.29660105,scheduled,,2014-01-03 06:00:00,2014-01-03 08:07:00,127,59320.21,0.1915061897637795,90,42037.944094488186,0.15,0.10509486023622046,37,17282.26590551181,0.3,0.08641132952755905
